LOYALTY,Satis,VALUE,Reputa,Pricey,ATRUST,CTRUST,age,sex,educ,Loca,caseid
2.75,9,5,4.25,7,10,5,5,1,2,1,2
5,8,6,4.5,7.33333333333333,8.25,7,3,1,2,1,5
6.125,8,9.5,6,10,9,8.5,2,1,3,1,9
4.75,5,6,4,4.33333333333333,7,5,4,1,2,1,10
4.875,7,7.83333333333333,4.75,7.66666666666667,7.75,6,3,1,3,1,11
1,7,4.16666666666667,3.75,5,2.75,5,4,1,4,1,13
4.75,6.33333333333333,6.83333333333333,5,5,5.75,6.25,1,1,4,1,16
5.25,8.33333333333333,8.33333333333333,5,8,10,7.75,2,1,3,1,17
4.79166666666667,8,7.5,3.75,7.66666666666667,8,6,5,1,2,1,18
7,10,10,6,9.66666666666667,10,10,4,1,1,1,19
5.70833333333333,8,6.5,4.75,6.66666666666667,9,8,5,1,4,1,20
4.875,7.33333333333333,6.83333333333333,4.5,8.33333333333333,9.75,6,5,1,2,1,22
5.16666666666667,7,4.83333333333333,3.25,5,10,5,5,1,2,1,25
6.625,9,9.5,4.25,7,10,10,5,1,2,1,26
5.41666666666667,10,9,2.5,10,4,9.25,4,1,2,1,27
6.25,9.33333333333333,8.5,5.5,7,9.5,9,4,1,4,1,29
6.375,8,9,5.5,8,9,8.5,3,1,1,1,30
4.5,7.33333333333333,4.83333333333333,5.25,6,7.25,6.25,3,1,2,1,35
1.66666666666667,3,1.83333333333333,2.25,2.66666666666667,1.25,1.25,3,1,4,1,36
1,1,1,2.5,4,1,1,4,1,4,1,39
5.875,9,8,4.5,5,9,9,5,1,4,1,40
6.33333333333333,8,8,5.75,5.33333333333333,9,9,4,1,1,1,41
5.20833333333333,6.66666666666667,9.16666666666667,4,6.66666666666667,6.5,6,2,1,2,1,43
4.875,9,7,4.75,6.66666666666667,8.5,6,5,1,2,1,44
4.375,8.33333333333333,5.83333333333333,5.75,5,7.75,7,4,1,3,1,48
4.25,10,10,5.25,6.66666666666667,8,8.75,4,1,3,1,49
4.70833333333333,7.66666666666667,7.5,5,6,9,8,4,1,1,1,51
1,1,1,3,2,1,1,3,1,3,1,55
